| epoch   2 |  7000/ 9234 batches | lr 0.0010 | ms/batch 17.26 | loss  4.12 | ppl    61.47
| epoch   2 |  7200/ 9234 batches | lr 0.0010 | ms/batch 17.17 | loss  4.11 | ppl    61.21
| epoch   2 |  7400/ 9234 batches | lr 0.0010 | ms/batch 16.85 | loss  4.11 | ppl    60.78
| epoch   2 |  7600/ 9234 batches | lr 0.0010 | ms/batch 17.24 | loss  4.13 | ppl    62.01
| epoch   2 |  7800/ 9234 batches | lr 0.0010 | ms/batch 17.26 | loss  4.10 | ppl    60.05
| epoch   2 |  8000/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.10 | ppl    60.44
| epoch   2 |  8200/ 9234 batches | lr 0.0010 | ms/batch 17.47 | loss  4.10 | ppl    60.39
| epoch   2 |  8400/ 9234 batches | lr 0.0010 | ms/batch 16.99 | loss  4.08 | ppl    59.12
| epoch   2 |  8600/ 9234 batches | lr 0.0010 | ms/batch 17.10 | loss  4.10 | ppl    60.50
| epoch   2 |  8800/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.12 | ppl    61.54
| epoch   2 |  9000/ 9234 batches | lr 0.0010 | ms/batch 16.86 | loss  4.10 | ppl    60.54
| epoch   2 |  9200/ 9234 batches | lr 0.0010 | ms/batch 17.14 | loss  4.10 | ppl    60.06
------------
| end of epoch   2 | time: 170.31s | valid loss  4.06 | valid ppl    58.18
------------
| epoch   3 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.10 | loss  4.12 | ppl    61.49
| epoch   3 |   400/ 9234 batches | lr 0.0010 | ms/batch 17.58 | loss  4.07 | ppl    58.60
| epoch   3 |   600/ 9234 batches | lr 0.0010 | ms/batch 17.58 | loss  4.09 | ppl    59.95
| epoch   3 |   800/ 9234 batches | lr 0.0010 | ms/batch 17.19 | loss  4.07 | ppl    58.64
| epoch   3 |  1000/ 9234 batches | lr 0.0010 | ms/batch 17.89 | loss  4.07 | ppl    58.50
| epoch   3 |  1200/ 9234 batches | lr 0.0010 | ms/batch 16.64 | loss  4.09 | ppl    59.71
